,Competition,Strength training,Recovery,Supplements,Cardiovascular training,Physiotherapy,Cancelled enrollment_False,Cancelled enrollment_True,Past injuries_False,Past injuries_True,Outcome
0,1,95,52,47,75,1,1,0,1,0,0
1,3,145,365,114,83,0,1,0,1,0,1
2,0,528,113,13,65,164,1,0,1,0,1
3,2,33,5,55,51,0,0,1,1,0,0
4,3,888,224,36,140,0,1,0,0,1,1
5,2,198,531,151,8,0,1,0,0,1,1
6,2,47,37,59,177,0,1,0,1,0,0
7,3,24,253,21,54,0,1,0,0,1,1
8,2,127,163,143,4,0,1,0,0,1,1
9,1,1709,265,327,1084,8,1,0,0,1,1
10,3,77,597,14,0,0,1,0,0,1,1
11,1,454,221,189,884,11,1,0,0,1,1
12,2,85,66,104,11,36,1,0,0,1,1
13,3,32,220,25,2,0,0,1,1,0,0
14,1,217,134,91,208,13,0,1,0,1,0
15,2,58,10,26,33,0,0,1,1,0,0
16,3,295,62,15,105,0,1,0,1,0,1
17,0,480,69,25,123,0,1,0,0,1,1
18,1,1262,76,278,478,7,1,0,0,1,1
19,2,532,605,765,8,329,1,0,0,1,1
20,2,67,112,108,551,0,1,0,1,0,1
21,0,285,160,54,0,0,1,0,1,0,1
22,2,129,227,79,792,0,1,0,1,0,1
23,0,387,301,36,81,132,1,0,1,0,1
24,1,2932,385,763,1287,21,1,0,0,1,1
25,2,161,171,125,4,39,1,0,0,1,1
26,0,157,20,5,97,0,1,0,0,1,0
27,2,195,232,159,553,0,1,0,1,0,1
28,2,19,61,32,314,0,1,0,1,0,1
29,3,248,23,16,8,0,0,1,0,1,0
30,2,705,87,449,2412,0,1,0,1,0,1
31,2,4,0,9,0,0,0,1,0,1,0
32,1,1193,77,245,545,9,1,0,0,1,1
33,2,133,125,243,580,0,1,0,1,0,1
34,1,1046,371,188,176,9,1,0,0,1,0
35,0,616,132,88,164,0,1,0,0,1,0
36,1,2009,800,471,545,96,1,0,0,1,1
37,3,61,6,61,31,0,0,1,0,1,0
38,1,1677,39,472,850,26,1,0,0,1,1
39,0,364,121,15,297,0,1,0,0,1,1
40,3,141,7,16,0,0,1,0,0,1,1
41,0,1098,1984,121,0,0,1,0,1,0,1
42,0,145,1,0,2,0,1,0,1,0,0
43,2,187,572,108,2,0,1,0,0,1,1
44,1,1504,465,279,651,23,1,0,0,1,1
45,1,56,145,33,100,1,1,0,0,1,0
46,1,244,91,123,101,18,0,1,0,1,0
47,2,471,1338,114,304,0,1,0,1,0,0
48,3,58,54,35,101,0,1,0,1,0,1
49,0,367,324,24,161,461,1,0,0,1,1
50,1,313,72,184,712,9,1,0,0,1,1
51,2,131,136,50,500,0,1,0,1,0,0
52,2,14,8,58,1,0,1,0,0,1,0
53,3,12,7,25,0,0,0,1,1,0,0
54,2,102,101,46,1,12,0,1,1,0,0
55,0,282,118,11,70,0,1,0,0,1,1
56,3,139,3,23,123,0,1,0,0,1,1
57,1,274,19,101,633,6,1,0,0,1,1
58,1,1182,90,195,804,1,1,0,0,1,0
59,2,10,13,21,67,0,0,1,1,0,0
60,2,325,225,272,699,0,1,0,1,0,1
61,3,25,164,40,81,0,1,0,0,1,1
62,0,327,530,27,160,132,1,0,1,0,1
63,3,39,97,56,47,0,0,1,1,0,0
64,0,951,856,85,143,419,1,0,0,1,1
65,3,27,19,29,80,0,1,0,1,0,1
66,3,60,145,44,88,0,1,0,1,0,0
67,2,17,0,17,2,0,1,0,1,0,0
68,2,186,10,256,320,0,1,0,1,0,1
69,2,10,12,9,60,0,0,1,1,0,0
70,1,824,407,296,137,29,1,0,1,0,0
71,2,197,87,48,14,0,1,0,0,1,1
72,3,43,107,14,82,0,1,0,1,0,0
73,1,1770,2314,603,1180,60,1,0,0,1,1
74,2,34,0,20,78,0,0,1,1,0,0
75,2,206,3240,164,1239,0,1,0,0,1,1
76,0,137,2,24,103,0,1,0,1,0,0
77,3,0,1,3,1,0,0,1,1,0,0
78,2,48,13,26,82,0,0,1,1,0,0
79,3,57,29,29,59,0,1,0,1,0,1
80,1,3225,395,455,612,35,1,0,0,1,1
81,3,29,39,15,82,0,1,0,1,0,1
82,0,83,0,20,4,0,1,0,1,0,0
83,3,307,845,38,81,0,1,0,1,0,1
84,2,69,107,16,4,0,0,1,1,0,0
85,2,116,745,273,17,105,1,0,0,1,1
86,1,214,49,88,101,6,0,1,0,1,0
87,0,105,27,62,0,0,1,0,1,0,0
88,3,119,56,86,44,0,1,0,1,0,1
89,1,347,145,127,314,33,1,0,0,1,0
90,3,187,2791,120,152,0,1,0,0,1,1
91,2,182,418,314,8,152,0,1,0,1,0
92,0,810,64,53,0,0,1,0,0,1,1
93,3,48,7,16,71,0,1,0,1,0,1
94,1,209,336,96,93,1,1,0,0,1,0
95,2,51,144,182,15,27,0,1,1,0,0
96,0,333,197,33,97,0,1,0,0,1,1
97,3,501,0,16,140,0,1,0,0,1,1
98,3,140,155,24,69,0,1,0,0,1,1
99,1,1944,364,299,803,2,1,0,0,1,1
100,3,83,152,101,39,0,1,0,1,0,0
101,2,2,539,4,134,0,1,0,1,0,1
102,3,190,4,12,0,0,1,0,1,0,1
103,1,249,83,182,87,8,1,0,1,0,0
104,3,26,5,6,14,0,0,1,0,1,0
105,3,40,170,82,85,0,1,0,1,0,1
106,0,1035,445,138,0,0,0,1,1,0,0
107,3,5,0,9,30,0,1,0,1,0,0
108,1,272,27,86,332,0,0,1,0,1,0
109,0,335,55,11,129,0,1,0,0,1,1
110,3,14,13,31,56,0,1,0,1,0,0
111,3,96,126,30,46,0,1,0,0,1,1
112,2,125,154,131,9,56,1,0,0,1,1
113,2,6,19,3,1,0,0,1,0,1,0
114,2,83,138,68,5,19,0,1,1,0,0
115,1,788,40,194,402,15,1,0,0,1,1
116,1,354,299,180,921,0,1,0,0,1,1
117,1,1765,506,402,571,14,1,0,0,1,1
118,0,1529,211,79,185,278,1,0,0,1,1
119,0,149,6,2,355,0,1,0,1,0,1
120,1,2078,740,489,1857,27,0,1,0,1,0
121,3,169,197,151,47,0,0,1,1,0,0
122,2,308,447,111,228,96,1,0,0,1,1
123,3,437,232,12,51,0,1,0,0,1,1
124,3,17,25,12,14,0,0,1,1,0,0
125,0,584,262,50,116,0,1,0,0,1,0
126,1,148,58,93,314,0,1,0,0,1,0
127,3,8,38,8,89,0,1,0,1,0,0
128,2,159,594,217,11,0,1,0,0,1,1
129,1,370,261,165,250,7,1,0,0,1,0
130,0,940,207,22,138,548,1,0,0,1,1
131,1,1513,103,276,654,9,1,0,0,1,1
132,3,99,0,17,0,0,1,0,0,1,0
133,2,132,65,73,1174,0,1,0,1,0,1
134,1,1943,298,265,745,21,1,0,0,1,1
135,3,100,944,99,114,0,0,1,1,0,0
136,1,1121,35,179,247,6,1,0,0,1,0
137,0,141,29,31,91,0,1,0,0,1,1
138,1,237,76,101,167,4,0,1,0,1,0
139,2,74,81,136,425,0,1,0,1,0,1
140,2,192,140,59,4,0,1,0,0,1,0
141,2,27,3,57,362,0,1,0,1,0,0
142,2,132,11,136,648,0,1,0,0,1,1
143,3,24,224,27,95,0,1,0,1,0,1
144,1,3260,768,590,879,64,1,0,0,1,1
145,3,1,46,1,4,0,1,0,0,1,0
146,3,17,70,36,61,0,0,1,1,0,0
147,1,1134,88,288,640,37,1,0,0,1,1
148,3,10,19,9,68,0,1,0,1,0,1
149,1,679,217,264,1218,20,1,0,0,1,1
150,2,7,3,17,132,0,0,1,1,0,0
151,1,516,166,211,325,32,1,0,0,1,0
152,3,240,23,13,44,0,1,0,1,0,1
153,2,592,282,426,22,132,1,0,0,1,1
154,3,110,348,87,67,0,1,0,1,0,1
155,2,542,93,289,11,66,1,0,0,1,1
156,2,176,59,110,4,20,1,0,1,0,0
157,1,147,169,100,4,0,1,0,1,0,0
158,2,357,1997,238,2895,0,1,0,1,0,1
159,1,1615,577,305,803,22,1,0,0,1,1
160,2,279,153,238,215,45,1,0,1,0,0
161,1,1505,171,416,219,48,0,1,1,0,0
162,2,26,55,20,2,0,0,1,0,1,0
163,1,108,150,89,2,0,1,0,0,1,0
164,0,92,15,9,1,0,0,1,1,0,0
165,2,114,703,105,2,0,0,1,0,1,0
166,2,111,140,95,623,0,1,0,1,0,1
167,2,191,136,206,28,0,1,0,0,1,1
168,2,158,206,308,254,96,1,0,0,1,1
169,2,262,136,155,620,0,1,0,1,0,1
170,0,183,250,33,198,139,1,0,0,1,1
171,1,526,266,122,210,1,0,1,0,1,0
172,3,6,270,14,40,0,0,1,1,0,0
173,2,493,179,131,3,89,1,0,0,1,1
174,2,232,32,102,1,0,0,1,0,1,0
175,1,31,18,8,0,1,1,0,0,1,0
176,3,13,1,18,33,0,1,0,1,0,1
177,2,232,1418,761,31,548,1,0,0,1,1
178,2,156,38,364,3,103,1,0,0,1,1
179,0,292,99,77,192,0,1,0,0,1,1
180,3,34,191,41,70,0,1,0,1,0,1
181,1,1053,604,254,1872,1,1,0,0,1,1
182,0,396,136,51,107,213,1,0,1,0,1
183,2,68,77,72,2,0,1,0,1,0,0
184,2,75,86,121,390,0,1,0,1,0,1
185,3,31,117,26,79,0,1,0,0,1,1
186,2,186,509,333,40,0,1,0,0,1,1
187,0,39,0,11,1,0,1,0,0,1,0
188,1,1529,1095,428,626,119,1,0,0,1,0
189,3,90,168,116,150,0,1,0,1,0,1
190,3,116,145,214,73,0,0,1,1,0,0
191,1,783,866,277,927,31,1,0,0,1,1
192,2,100,55,153,195,0,1,0,1,0,1
193,0,144,32,14,49,0,1,0,0,1,0
194,3,1079,261,74,150,0,1,0,1,0,1
195,1,1584,610,494,1243,3,1,0,0,1,1
196,2,86,259,88,6,94,1,0,0,1,0
197,3,1856,136,124,173,0,1,0,1,0,1
198,3,0,0,0,0,0,0,1,1,0,0
199,1,92,691,61,286,0,0,1,0,1,0
200,2,48,27,89,4,0,1,0,1,0,0
201,3,23,76,36,65,2,1,0,1,0,1
202,3,2,5,1,13,0,1,0,1,0,0
203,1,283,93,104,3,3,0,1,1,0,0
204,0,470,70,58,0,0,1,0,1,0,1
205,0,615,95,31,88,412,1,0,0,1,1
206,0,1198,617,34,126,536,1,0,0,1,1
207,3,51,3,44,99,0,0,1,1,0,0
208,0,499,39,67,2,71,1,0,0,1,1
209,2,158,89,42,1,35,0,1,1,0,0
210,3,56,700,88,95,0,1,0,1,0,1
211,1,1743,246,490,1229,42,1,0,0,1,1
212,1,319,220,179,326,7,0,1,0,1,0
213,2,100,73,56,1,0,1,0,0,1,1
214,2,13,3,19,200,0,1,0,1,0,0
215,3,86,0,4,1,0,1,0,0,1,0
216,3,34,53,38,42,0,0,1,1,0,0
217,0,435,703,27,90,0,1,0,0,1,1
218,1,394,110,136,210,4,1,0,0,1,0
219,0,219,31,1,3,0,0,1,1,0,0
220,2,89,218,290,1,93,1,0,0,1,1
221,3,83,2059,60,101,0,1,0,1,0,1
222,3,51,402,27,83,0,1,0,1,0,1
223,3,43,18,12,110,0,1,0,1,0,1
224,1,2216,230,361,777,40,1,0,0,1,1
225,3,51,200,54,109,0,1,0,1,0,1
226,2,81,0,11,0,0,0,1,1,0,0
227,2,171,575,206,25,0,1,0,0,1,1
228,1,2376,536,387,969,25,1,0,0,1,1
229,0,453,0,7,78,1,1,0,1,0,1
230,1,2296,652,350,519,13,1,0,0,1,1
231,2,145,342,281,19,120,1,0,1,0,1
232,3,26,9,1,0,0,0,1,1,0,0
233,2,2,349,9,91,0,0,1,1,0,0
234,1,419,145,198,37,23,1,0,0,1,0
235,3,247,9,8,31,0,1,0,1,0,0
236,2,256,422,211,1787,0,1,0,1,0,1
237,3,47,14,6,88,0,1,0,0,1,0
238,2,78,128,58,11,0,1,0,1,0,1
239,1,2440,438,318,513,78,1,0,0,1,1
240,2,137,46,20,3,12,1,0,0,1,0
241,2,99,244,67,8,19,0,1,1,0,0
242,3,12,353,28,96,0,1,0,1,0,1
243,3,28,338,33,119,0,1,0,1,0,1
244,1,878,326,372,659,37,1,0,0,1,0
245,1,606,88,124,737,1,1,0,0,1,1
246,3,27,2,16,0,0,1,0,0,1,0
247,3,56,71,71,92,0,1,0,1,0,1
248,2,86,251,57,5,0,1,0,0,1,0
249,1,2404,431,636,976,27,1,0,0,1,1
